陆法和,位于,江陵百里洲
朱元英,位于,南郡
法和,位于,青溪山
王僧,位于,巴陵
法和,任职,都督
法和,任职,郢州刺史
法和,任职,江乘县公
法和,号,司徒
王褒,任职,仆射
法和,任职,司徒
法和,任职,都督
法和,任职,刺史
梁人,去往,魏
王岳,位于,清河
法和,任职,大都督
法和,任职,太尉公
莅弟簉,任职,散骑常侍
莅弟簉,任职,仪同三司
莅弟簉,任职,湘州刺史
莅弟簉,任职,义兴县公
王琳,名,子珩
王琳,出生地,会稽山阴
王琳,父,显嗣
王琳,同名于,琳
宋子仙,同名于,子仙
陆纳,任职,长史
黄罗汉,任职,廷尉卿
张载,任职,太府卿
琳,任职,雍州刺史
琳,管理,武宁
琳,去往,长沙
琳,管理,魏平江陵
李騊駼册,任职,中书令
琳,任职,使持节
琳,任职,侍中
琳,任职,大将军
琳,任职,中书监
琳,任职,安城郡公
吴明,任职,安州刺史
安都,任职,司空侯
袁泌,任职,左长史
刘仲威,任职,御史中丞
裴景晖,任职,刺史
卢潜,任职,行台左丞
琳,位于,寿阳
卢潜,任职,行台尚书
敬,父,琳
琳,子,敬
萧明,出生地,兰陵
梁武帝,兄,王懿
侯景,同名于,侯
王僧,任职,太尉
陈霸,任职,司空
方智,任职,丞相
裴英,任职,侍中
王僧辩,任职,大司马
明,号,闵皇帝
萧祗,名,敬式
王恢,位于,鄱阳
萧放,名,希逸
徐之才,出生地,丹阳
徐之才,父,雄
雄,位于,兰陵
雄,任职,太守
刘孝绰,位于,彭城
裴子野,位于,河东
张嵊,位于,吴郡
齐神武,去往,晋阳
胡长仁,任职,左仆射
士开,任职,右仆射
之才,任职,侍中
之才,任职,太子太师
林,名,少卿
林,任职,太尉司马
之范,任职,太常卿
裴让之,朋友,杨愔
杨愔,同名于,愔
高德政,任职,侍中
诹之,名,士正
诹之,任职,太学博士
常景,同名于,景
诹之,位于,河南
诹之,号,洛阳遗彦
诹之,位于,南山
王元,任职,刺史
谳之,名,士平
谳之,任职,司徒主簿
皇甫和,名,长谐
皇甫和,祖先,澄
皇甫和,父,徽
徽,名,子玄
李构,名,祖基
李构,出生地,黎阳
李构,祖先,平
构,任职,谯州刺史
构,任职,开府参军
庶,葬于,临漳狱
庶,兄,岳
张宴之,名,熙德
崔子,任职,御史
卬,任职,给事黄门侍郎
卬,升迁,吏部郎中
王松年,升迁,通直散骑常侍
夏禹,名,文命
禹,父,鲧
鲧,父,帝颛顼
颛顼,父,昌意
昌意,父,黄帝
黄帝,玄孙,禹
禹,曾大父,昌意
禹,父,鲧
昌意,任职,臣
鲧,任职,臣
鲧,子,禹
伯禹,任职,司空
禹,父,鲧
皋陶,任职,士
禹,子,启
夔,任职,乐
舜,子,商均
禹,姓,姒氏
帝禹,子,启
禹,子,启
启,同名于,夏后帝启
禹,子,夏后帝启
启,作,甘誓
夏后帝启,子,帝太康
太康,弟,中康
中康,同名于,帝中康
胤,作,胤征
中康,子,帝相
帝相,子,帝少康
帝少康,子,帝予
帝予,子,帝槐
帝槐,子,帝芒
帝芒,子,帝泄
帝泄,子,帝不降
帝不降,弟,帝扃
帝扃,子,帝廑
帝不降,子,孔甲
孔甲,子,帝皋
帝皋,子,帝发
帝发,子,帝履癸
帝履癸,同名于,桀
桀,去往,鸣条
禹,姓,姒姓
禹,葬于,会稽
会稽,同名于,会计
太祖,子,友贞
友贞,任职,均王
友贞,任职,左天兴军使
友珪,杀,友文
友文,任职,博王
王,任职,东京留守
王,任职,开封尹
敬翔,任职,中书侍郎
敬翔,任职,同中书门下平章事
李振,任职,户部尚书
李振,任职,崇政院使
赵岩,任职,驸马都尉
赵岩,去往,东都
马慎交,去往,魏州
舜贤,任职,小校王
舜贤,去往,洛阳
袁象先,任职,左龙虎统军
友珪,杀,先皇帝
象先,杀,友珪
赵岩,去往,东都
友文,任职,博王
姚洎,任职,御史大夫
姚洎,任职,中书侍郎
姚洎,任职,同中书门下平章事
于兢,贬职,莱州司马
蒋殷,任职,武宁军节度使
牛存节,任职,天平军节度使
贺德伦,任职,平卢军节度使
贺德伦,任职,天雄军节度使
张筠,任职,宣徽使
张筠,任职,节度使
贺德伦,依附,晋
李存勖,任职,晋王
李存勖,去往,魏州
友孜,任职,康王
温昭图,管理,耀州
刘掞,任职,镇南军节度使
刘掞,去往,滑州
李霸,任职,捉生都将
张温,任职,捉生都将
张筠,去往,京师
阎宝,任职,安国军节度使
阎宝,依附,晋
赵光逢,任职,太子太保
赵光逢,任职,司空兼门下侍郎
赵光逢,任职,同中书门下平章事
戴思远,任职,横海军节度使
戴思远,去往,京师
张源德,任职,守将
郑珏,任职,中书侍郎
郑珏,任职,同中书门下平章事
刘璩,任职,右千牛卫大将军
贺瑰,任职,宣义军节度使
贺瑰,任职,北面行营招讨使
萧顷,任职,尚书吏部侍郎
萧顷,任职,中书侍郎
萧顷,任职,同中书门下平章事
贺瑰,杀,谢彦章
贺瑰,杀,孟审澄
贺瑰,杀,侯温裕
张守进,任职,泰宁军节度使
张守进,依附,晋
刘鄩,任职,亳州团练使
刘鄩,任职,兖州安抚制置使
王瓒,任职,开封尹
